"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2023","106.440","107.000","107.300","106.490","0.00K","0.36%"
"05/02/2023","106.060","107.000","107.000","106.110","0.00K","-0.04%"
"04/27/2023","106.100","107.300","107.555","106.150","0.00K","-0.02%"
"04/26/2023","106.120","107.650","107.730","106.170","0.00K","-1.28%"
"04/25/2023","107.500","107.650","107.650","106.180","0.00K","1.32%"
"04/24/2023","106.100","107.650","107.650","106.150","0.01K","-0.01%"
"04/18/2023","106.110","107.500","107.655","106.160","0.00K","-0.13%"
"04/17/2023","106.250","107.600","107.600","106.300","0.00K","-0.11%"
"04/13/2023","106.370","107.550","107.550","106.420","0.00K","0.03%"
"04/12/2023","106.340","107.400","107.400","106.390","0.00K","0.06%"
"04/11/2023","106.280","107.300","107.300","106.330","0.00K","0.11%"
"04/10/2023","106.160","107.150","107.150","106.215","0.00K","0.33%"
"04/06/2023","105.810","107.700","107.700","105.860","0.00K","-1.48%"
"04/05/2023","107.400","107.450","107.450","105.720","0.00K","1.83%"
"04/04/2023","105.470","107.200","107.200","105.520","0.00K","0.22%"
"04/03/2023","105.240","107.700","107.700","105.290","0.00K","-1.83%"
"03/30/2023","107.200","107.250","107.250","107.250","","0.79%"
"03/29/2023","106.360","107.250","107.280","105.110","0.00K","-1.20%"
"03/28/2023","107.650","107.700","107.700","107.700","","2.48%"
"03/27/2023","105.040","107.700","107.700","105.090","0.00K","-0.01%"
"03/23/2023","105.050","107.700","107.700","105.100","0.00K","-0.01%"
"03/22/2023","105.060","107.600","107.600","105.110","0.00K","-1.36%"
"03/21/2023","106.510","107.600","107.600","105.220","0.01K","1.21%"
"03/20/2023","105.240","107.600","107.600","105.290","0.00K","-1.41%"
"03/16/2023","106.750","107.450","107.575","105.440","0.00K","1.28%"
"03/15/2023","105.400","107.250","107.250","105.450","0.00K","-0.13%"
"03/14/2023","105.540","106.880","106.880","105.590","","0.10%"
"03/13/2023","105.430","106.880","106.880","105.480","0.00K","0.06%"
"03/09/2023","105.370","106.000","106.000","105.420","0.00K","0.13%"
"03/07/2023","105.230","106.400","106.400","105.280","0.00K","0.32%"
"03/06/2023","104.890","106.250","106.250","104.940","0.00K","-1.51%"
"03/02/2023","106.500","104.650","107.125","104.650","0.00K","1.99%"
"03/01/2023","104.420","107.200","107.315","104.470","0.01K","-0.03%"
"02/28/2023","104.450","106.550","106.960","104.500","0.00K","-2.02%"
"02/27/2023","106.600","106.650","107.075","104.340","0.00K","0.01%"
"02/23/2023","106.590","106.850","107.175","106.745","0.00K","-0.04%"
"02/22/2023","106.630","105.850","107.115","105.850","0.00K","0.45%"
"02/20/2023","106.150","106.250","106.250","106.200","0.00K","0.38%"
"02/16/2023","105.750","107.200","107.200","105.800","0.00K","-0.42%"
"02/15/2023","106.200","106.700","107.150","106.250","0.00K","-0.84%"
