Date,Price,Open,High,Low,,
12/30/2022,102.5,103.1,103.1,103.1,,
12/29/2022,102.6,106.4,106.4,102.66,,
12/28/2022,105.4,103.4,106.04,102.69,,
12/27/2022,102.7,103.75,103.85,102.58,,
12/26/2022,103.95,104,104,104,,
12/23/2022,105.2,105.9,105.9,105.85,,
12/22/2022,105.2,104,105.935,102.87,,
12/21/2022,105.4,104,106.02,102.74,,
12/20/2022,102.5,104.05,106.25,102.595,,
12/19/2022,105.7,104.15,106.37,104.15,,
12/16/2022,104.1,104.25,104.25,104.25,,
12/15/2022,104.2,103.85,104.4,103.85,,
12/14/2022,103.1,103.85,103.85,103.2,,
12/13/2022,103.7,103.35,103.75,103.35,,
12/12/2022,103.6,103.35,103.9,102.86,,
12/8/2022,102.7,103.1,103.625,102.725,,
12/7/2022,103.35,103.25,103.7,102.665,,
12/6/2022,103.1,103.15,103.55,103.05,,
12/5/2022,102.9,103,103.5,102.4,,
12/2/2022,102.2,102.4,102.4,102.4,,
12/1/2022,102.3,101.7,102.6,101.45,,
11/30/2022,101.5,101.45,101.8,101.45,,
11/29/2022,101.4,101.45,105.55,101.45,,
11/28/2022,105,101.8,105.65,101.64,,
11/25/2022,101.7,102.1,102.1,102.1,,
11/24/2022,101.8,102.4,102.4,101.85,,
11/23/2022,101.6,103.4,103.4,101.83,,
11/22/2022,102.2,103.4,103.4,102.335,,
11/21/2022,102.8,103.4,103.575,102.94,,
11/18/2022,102.6,103.05,103.05,103.05,,
11/17/2022,102.7,103.6,103.6,102.875,,
11/16/2022,102.6,102.55,103,102.55,,
11/15/2022,102.4,102.55,102.75,102.5,,
11/14/2022,102.1,101.7,102.67,101.7,,
11/11/2022,101.7,102.15,102.15,102.15,,
11/10/2022,101.8,101.65,102.26,101.65,,
11/9/2022,104.8,101.65,105.7,101.65,,
11/8/2022,101.33,101.85,101.85,101.38,,
11/7/2022,101.7,102.2,102.375,101.8,,
11/4/2022,102.65,102.65,102.65,102.65,,
11/3/2022,102.7,101.95,102.8,101.9,,
11/2/2022,101.7,101.11,102.1,101.07,,
11/1/2022,100.8,101.45,101.9,100.905,,
10/31/2022,100.8,101.45,101.6,100.905,,
10/28/2022,101.1,101.65,101.65,101.2,,
10/27/2022,101.26,101.45,101.47,101.31,,
10/26/2022,101.4,101.45,101.66,101.45,,
10/25/2022,105.2,101.45,105.7,101.45,,
10/24/2022,101.5,100.95,101.78,100.95,,
10/20/2022,101.2,101.5,105.94,101.3,,
10/19/2022,105.82,101.7,105.82,101.5,,
10/18/2022,105.8,102.925,105.85,101.73,,
10/17/2022,102.4,105.95,105.95,102.575,,
10/14/2022,101.9,102.75,102.75,102.65,,
10/13/2022,102,105.6,105.6,102.065,,
10/12/2022,101.5,105.75,105.75,101.61,,
10/11/2022,101.6,105,105,101.64,,
10/10/2022,101.26,102.3,105.25,100.68,,
10/6/2022,102.9,101.01,103.575,101.01,,
10/4/2022,101.6,101.71,103.045,101.01,,
10/3/2022,101.5,101.7,102.08,101.25,,
9/30/2022,101.1,101.25,101.25,101.25,,
9/29/2022,101.2,101.23,101.3,101.23,,
9/28/2022,102.3,102.525,103.1,102.425,,
9/27/2022,100.82,102.43,102.43,100.87,,
9/26/2022,102.6,100.87,103.15,100.87,,
9/23/2022,102.6,103.1,103.2,103.05,,
9/22/2022,102.7,102.925,103.2,102.825,,
9/21/2022,103.2,103.55,103.7,103.4,,
9/20/2022,103.3,103.55,103.7,103.45,,
9/19/2022,103.8,103.5,104.4,103.5,,
9/16/2022,103.8,104.4,104.4,104.4,,
9/15/2022,103.9,104.5,104.5,103.05,,
9/14/2022,103.95,102.43,104,102.43,,
9/13/2022,102.4,102.4,0,0,,
9/12/2022,94.91,95.025,95.055,94.98,,
9/9/2022,94.91,95.395,95.43,95.395,,
9/8/2022,95,95.025,95.025,95.025,,
9/7/2022,95,95.025,95.025,95.025,,
9/6/2022,94.91,95.025,95.055,94.98,,
9/5/2022,94.91,95.025,95.135,94.98,,
9/2/2022,94.82,95.11,95.11,95.11,,
9/1/2022,94.91,95.025,95.055,94.98,,
8/31/2022,94.91,95.025,95.135,94.98,,
8/30/2022,95,95.025,95.025,95.025,,
8/29/2022,94.91,95.025,95.27,94.89,,
8/26/2022,94.73,95.01,95.265,94.92,,
8/25/2022,94.91,95.025,95.055,94.98,,
8/24/2022,94.91,95.025,95.055,94.98,,
8/23/2022,94.89,95.025,95.06,94.97,,
8/22/2022,94.91,95.025,95.42,94.98,,
8/19/2022,94.94,95.365,95.365,95.365,,
8/18/2022,94.91,95.01,95.01,95.01,,
8/17/2022,94.91,94.985,95.055,94.965,,
8/16/2022,94.91,95.025,95.03,94.98,,
8/15/2022,94.82,95.01,95.235,94.965,,
8/11/2022,94.91,94.975,95.095,94.93,,
8/10/2022,94.95,94.7,95.07,94.7,,
8/9/2022,94.61,94.965,95.05,94.865,,
8/8/2022,94.7,94.7,94.725,94.7,,
8/5/2022,94.44,94.965,94.965,94.965,,
8/4/2022,94.53,94.725,94.76,94.64,,
8/3/2022,94.7,94.71,94.755,94.68,,
8/2/2022,94.7,94.7,94.725,94.7,,
8/1/2022,94.61,94.7,95.01,94.595,,
7/29/2022,94.44,94.88,94.88,94.88,,
7/28/2022,94.53,94.725,94.76,94.64,,
7/27/2022,94.61,94.7,94.83,94.68,,
7/26/2022,94.7,94.45,94.755,94.45,,
7/25/2022,94.22,94.475,94.65,94.36,,
7/22/2022,94.31,94.575,94.575,94.575,,
7/21/2022,94.4,93.95,94.45,93.95,,
7/20/2022,93.95,93.975,93.975,93.95,,
7/19/2022,93.95,93.95,93.975,93.95,,
7/18/2022,93.63,93.975,94.08,93.5,,
7/14/2022,93.9,93.975,93.975,93.95,,
7/13/2022,93.81,93.45,94.035,93.45,,
7/12/2022,93.4,93.475,93.475,93.45,,
7/11/2022,93,93.515,93.68,93.425,,
7/8/2022,93.18,93.415,93.58,93.35,,
7/7/2022,93.36,93.45,93.485,93.405,,
7/6/2022,93.31,93.45,93.485,93.405,,
7/5/2022,93.36,93.475,93.48,93.43,,
7/4/2022,93.4,93.475,93.475,93.45,,
6/30/2022,93.45,93.475,93.475,93.45,,
6/29/2022,93.4,93.475,93.475,93.45,,
6/28/2022,93.31,92.95,93.455,92.86,,
6/27/2022,92.72,92.975,93.065,92.815,,
6/23/2022,92.63,92.975,92.99,92.815,,
6/22/2022,92.86,92.95,92.985,92.86,,
6/21/2022,92.72,92.9,92.96,92.86,,
6/20/2022,92.9,92.925,92.95,92.925,,
6/17/2022,92.81,92.915,92.915,92.915,,
6/16/2022,92.9,92.95,92.95,92.9,,
6/15/2022,92.81,92.9,92.955,92.9,,
6/14/2022,93.67,92.95,93.915,92.75,,
6/13/2022,93.76,92.95,93.91,92.95,,
6/9/2022,92.81,92.95,93.03,92.905,,
6/8/2022,92.9,92.5,92.975,92.3,,
6/7/2022,91.95,92.55,92.95,92.275,,
6/6/2022,91.23,91.55,91.94,91.415,,
6/3/2022,88.82,89.325,89.325,89.325,,
6/2/2022,88.91,89.075,89.08,89.03,,
6/1/2022,88.91,89.075,89.08,89.03,,
5/31/2022,88.91,89.075,89.08,89.03,,
5/30/2022,89,87.95,89.075,87.95,,
5/27/2022,87.63,87.935,87.935,87.935,,
5/26/2022,87.72,87.95,87.965,87.86,,
5/25/2022,87.81,87.95,87.96,87.905,,
5/24/2022,87.72,87.95,87.96,87.86,,
5/23/2022,87.72,87.55,87.965,87.55,,
5/20/2022,87.14,87.53,87.545,87.485,,
5/19/2022,87.32,87.55,87.56,87.46,,
5/18/2022,87.41,87.55,87.56,87.505,,
5/17/2022,87.41,87.55,87.555,87.505,,
5/16/2022,87.41,87.55,87.555,87.505,,
5/13/2022,86.61,86.93,86.93,86.93,,
5/12/2022,86.7,86.695,86.725,86.695,,
5/11/2022,86.61,86.695,86.73,86.655,,
5/10/2022,86.7,86.695,86.725,86.695,,
5/9/2022,86.52,86.445,86.74,86.445,,
5/6/2022,86.18,86.445,86.605,86.355,,
5/5/2022,86.36,86.475,86.49,86.43,,
5/4/2022,86.27,86.77,86.81,86.77,,
5/3/2022,86.18,86.76,86.76,86.76,,
5/2/2022,86.27,86.77,86.77,86.77,,
4/29/2022,86.36,86.615,86.69,86.615,,
4/28/2022,86.36,86.475,86.56,86.405,,
